<cur_step>,<num_susceptible>,<num_infected>,<num_recovered>
1587,25,25,0
1588,25,25,0
1589,25,25,0
1590,25,25,0
1591,25,25,0
1592,25,25,0
1593,25,25,0
1594,25,25,0
1595,25,25,0
1596,25,25,0
1597,25,25,0
1598,25,25,0
1599,25,25,0
1600,25,25,0
1601,25,25,0
1602,25,25,0
1603,25,25,0
1604,25,25,0
1605,25,25,0
1606,25,25,0
1607,25,25,0
1608,25,25,0
1609,25,25,0
1610,25,25,0
1611,25,25,0
1612,25,25,0
1613,25,25,0
1614,25,25,0
1615,25,25,0
1616,25,25,0
1617,25,25,0
1618,25,25,0
1619,25,25,0
1620,25,25,0
1621,25,25,0
1622,25,25,0
1623,25,25,0
1624,24,26,0
1625,24,26,0
1626,24,26,0
1627,24,26,0
1628,24,26,0
1629,24,26,0
1630,24,26,0
1631,24,26,0
1632,24,26,0
1633,24,26,0
1634,24,26,0
1635,24,26,0
1636,24,26,0
1637,24,26,0
1638,24,26,0
1639,24,26,0
1640,24,26,0
1641,24,26,0
1642,24,26,0
1643,24,26,0
1644,24,26,0
1645,24,26,0
1646,24,26,0
1647,24,26,0
1648,24,26,0
1649,24,26,0
